-0,140	-0,140	-0,220	-0,220	-0,190	-0,140	-0,180	-0,175	-0,285	-0,140
-0,135	-0,150	-0,150	-0,245	-0,240	-0,200	-0,240	-0,230	-0,160	-0,190
-0,150	-0,160	-0,175	-0,270	-0,270	-0,265	-0,290	-0,275	-0,185	-0,230
-0,175	-0,180	-0,200	-0,290	-0,310	-0,280	-0,300	-0,300	-0,215	-0,240
-0,175	-0,200	-0,210	-0,305	-0,305	-0,290	-0,340	-0,340	-0,255	-0,275
-0,165	-0,190	-0,210	-0,300	-0,300	-0,265	-0,310	-0,305	-0,240	-0,255
-0,165	-0,195	-0,195	-0,270	-0,245	-0,225	-0,255	-0,250	-0,185	-0,180
-0,150	-0,165	-0,165	-0,245	-0,245	-0,225	-0,265	-0,250	-0,160	-0,160
-0,110	-0,110	-0,130	-0,200	-0,200	-0,160	-0,175	-0,165	-0,105	-0,105
-0,100	-0,085	-0,085	-0,145	-0,110	-0,060	-0,080	-0,070	0,005	0,075
